Median pickup times in 2019-01-07 at hours 12-16
id, median
1,13
2,9.5
3,8
4,10.0
5,11
6,11.0
7,13.0
8,17
9,11
10,9
11,9
12,9
13,11.0
14,8
15,8
16,12.0
17,10
18,15
19,11
20,12
21,15
22,11
23,12
24,10
25,11
26,10.5
27,11
28,12
29,9
30,11
31,14
32,9
33,8
34,11.0
35,17
36,17
37,14
38,19.0
39,14
40,15
41,13
42,15.0
43,21.5
44,29.5
45,27.5
46,21.5
47,20.5
48,14.0
49,16
50,17.5
51,13
52,20
53,29
54,34.0
55,29
56,38.5
57,18
58,20.0
59,17.5
60,18
61,18.5
62,20
63,15
64,13
65,18
66,16.5
67,19.5
68,17.5
69,19
70,16
71,17
72,14
73,16.5
74,22.5
75,19.5
76,15
77,17.0
78,16
79,11
80,16
81,15.5
82,22.5
83,19
84,14.5
85,24
