Median pickup times in 2019-01-08 at hours 19-20
id, median
1,27
2,27
3,14.5
4,26
5,21
6,18.5
7,16.5
8,15
9,19.0
10,18
11,23
12,12
13,18.5
14,15
15,19.5
16,23.0
17,21
18,14.0
19,12.5
20,17
21,20
22,23.5
23,16
24,17
25,14
26,19.5
27,19
28,16.5
29,15.5
30,18
31,14
32,20.5
33,19
34,18.0
35,18.0
36,14
37,20
38,24.0
39,15
40,18.5
41,19
42,19
43,20.0
44,20.5
45,25.5
46,28.0
47,28
48,19.5
49,14
50,13.5
51,24.5
52,17.5
53,28
54,38
55,35
56,41.5
57,28
58,20
59,30.0
60,18.5
61,22.5
62,28
63,19.0
64,25
65,18
66,17.0
67,17.0
68,25.5
69,21.0
70,20.0
71,17.5
72,17.5
73,23.5
74,21
75,20
76,26
77,20
78,17.5
79,22.0
80,18
81,18
82,20.5
83,22.0
84,18.0
85,23
